industry,job_role,education_level,experience_years,ai_adoption_level,automation_risk,skill_shift_level,salary_change_percent,job_replacement_probability
Logistics,Support Staff,Diploma,14,0.7380354561775202,0.8855254664359113,0.9903537530217579,35.75984333479583,0.6979231651769988
Manufacturing,Teacher,High School,11,0.6234135316892885,0.5616465831653393,0.4765110514051259,15.971011174697287,0.4355547755878869
Education,Data Analyst,Bachelor,15,0.3826594941766841,0.38062190757599285,0.6202410755687311,21.24986895797099,0.26557464390984903
Logistics,Data Analyst,Master,23,0.7907100864916606,0.9944611456267568,1.0,31.72661346940228,0.5703866984328901
Finance,Data Analyst,Bachelor,18,0.6178941756513862,0.5944717159833188,0.8875137684817969,30.2672014149749,0.4731505174534043
Government,Technician,Master,7,0.30377142344916036,0.43318686766356485,0.5277661833703233,17.36090104454615,0.32735929704337163
Education,Clerk,Diploma,20,0.5713727998679713,0.7884463239050529,0.782641221892759,25.369161280877385,0.5425542881167508
Education,Technician,High School,16,0.28876195586163533,0.3433679504473898,0.5280700192608823,9.38573294904598,0.26109628597210566
Logistics,Clerk,Master,22,0.7158538435401212,1.0,1.0,40.354155662627264,0.7991324039293569
Healthcare,Nurse,Master,4,0.6958229483284708,0.5763262780324154,0.7875607184741367,27.86469157473057,0.3784155716584985
Finance,Technician,Master,21,0.8154536037711271,1.0,1.0,33.12712434051971,0.8097887085291843
Logistics,Technician,Master,15,0.6780837715472491,0.8878422984085946,1.0,36.44808596211817,0.5316956053263908
Finance,Support Staff,High School,5,0.6099212782474562,0.8934321424228571,1.0,30.30346526794871,0.5643209718066952
Finance,Manager,High School,7,0.5890126934124108,0.35103856784530707,0.4767545846976316,13.484769339923185,0.2427659587767382
Government,Technician,Diploma,24,0.48673928670501143,0.6375149581720043,0.6884030101805833,21.036740920256076,0.5160820543617141
Education,Support Staff,High School,17,0.5579376698830933,0.7217290549735891,0.7263030598425771,21.878219163675933,0.4283004720328258
Manufacturing,Software Engineer,Master,24,0.7339022193909925,0.7889789001577755,1.0,41.939650243681214,0.5785820531261445
Government,Manager,Diploma,11,0.28551897927526315,0.19610585691416973,0.15087776528120725,-3.294632335862821,0.08437020144632434
Government,Nurse,Diploma,14,0.23953012294391077,0.2195047812937153,0.2824590817480388,5.547712093280721,0.12836108008888586
Finance,Technician,Diploma,8,0.5305128137411409,0.6171143393825533,0.7611391778082824,22.679739610042326,0.47027566889385736
Retail,Teacher,Master,12,0.6016771065738494,0.5461184988280219,0.6479946105627855,17.135839761650413,0.4249478195840508
Education,Data Analyst,Bachelor,14,0.3970415547467037,0.37357871653687363,0.40581328050673005,10.56733434789879,0.19935235098619758
Healthcare,Software Engineer,Master,9,0.6668759559972546,0.6854270106900178,1.0,30.658290888945853,0.5794033866143701
Government,Software Engineer,High School,15,0.45888495525436734,0.3807669288735506,0.5938084649005282,16.197378947326122,0.30518308784898657
Manufacturing,Nurse,High School,6,0.6169411462701053,0.551539860329591,0.7398021076089574,18.99953929103415,0.4569973836644816
Retail,Support Staff,Master,16,0.5648220965854946,0.8231648140441286,1.0,38.54953960328895,0.5972325089255386
Retail,Software Engineer,Master,22,0.5024269090393557,0.4622144012889738,0.7058035911594038,29.491667662326464,0.3397858701901556
Healthcare,Manager,Diploma,20,0.5520374057690145,0.363984363237166,0.5982747055837856,24.868493367460747,0.13860927404947482
Government,Technician,Master,21,0.45832419316848105,0.5654762031555198,0.7498911265924049,25.34842242195731,0.4070235651489692
Manufacturing,Technician,Diploma,6,0.8321685583513267,0.8767750802561975,1.0,31.230364675637336,0.8126345816789247
Education,Teacher,High School,13,0.5453080642423535,0.4741972771816913,0.7202897131678989,22.32698953716734,0.25346430203662973
IT,Nurse,Diploma,14,0.7388912061002086,0.513581932835486,0.5425866361791807,19.383631547615817,0.34472894563280954
Manufacturing,Data Analyst,Master,20,0.5608904599710752,0.5236794012842323,0.7101443124861104,20.42856220449945,0.2779141872112707
Healthcare,Support Staff,High School,6,0.6087531573076705,0.7335521366947289,0.8015687187532589,30.695740163731735,0.5922586026467396
Retail,Data Analyst,Bachelor,8,0.3872203041895211,0.4646478941452633,0.5129533146022814,10.785288382680477,0.3676541999496473
Education,Software Engineer,Diploma,18,0.36022185601453865,0.22202932003864412,0.200392833701414,6.447321429967289,0.07783598486187926
Manufacturing,Nurse,High School,15,0.5513359969435215,0.4649201261890638,0.6553231294016324,24.552847473481005,0.30204723959188107
IT,Teacher,Diploma,7,0.888584318840567,0.9859223433918589,1.0,38.10284640976868,0.7022419871787178
IT,Data Analyst,High School,17,0.7084962040149274,0.6170422994687523,0.6586960718091329,18.856179316690387,0.3958529853862772
Finance,Manager,High School,22,0.7293488433920803,0.6165057211550782,0.5471831638232069,11.12856891541946,0.32515377236873716
Finance,Technician,Diploma,17,0.8471099160087436,1.0,0.9730341162417018,33.772130136788434,0.874945805254971
Logistics,Software Engineer,Bachelor,19,0.4754348050635057,0.5082265886033142,0.8201879608294187,26.330170673276168,0.23712792747530018
Healthcare,Teacher,High School,6,0.37697730418301123,0.35941600811647967,0.4217509955211676,2.62755868335811,0.31462360083663976
Government,Data Analyst,High School,2,0.31913303243333624,0.39283009519764817,0.4048396559944853,6.682167597822994,0.3239399957500857
Manufacturing,Support Staff,High School,17,0.8532352799879697,1.0,1.0,35.23637573539284,0.6810802454619562
Manufacturing,Manager,Bachelor,9,0.6254354540769662,0.49465811902102874,0.6060645521633503,18.68758246024906,0.40171090453240427
Government,Manager,Bachelor,6,0.32613223697562166,0.26286452376646896,0.4340270451241359,10.185452896915114,0.1875764501049775
Logistics,Data Analyst,Master,16,0.47397689231944284,0.4071813939542725,0.7580261328755504,20.760135610159928,0.25579762177029264
Retail,Technician,Diploma,13,0.6171043519406112,0.8195760568639822,0.9768815367357156,40.283255706626676,0.49931892923664173
Retail,Data Analyst,Bachelor,23,0.4929072199658079,0.5180094556138415,0.7611382760974029,23.094399577680495,0.2923266907424938
Logistics,Software Engineer,Diploma,2,0.715737056571295,0.6650364105010265,0.7426711471830443,21.163489920413447,0.47838446536958695
Retail,Data Analyst,Master,11,0.6662627455213783,0.6261154052670456,0.9345924627457272,32.11407134476254,0.3554146203262864
Finance,Manager,Diploma,12,0.5814671014854511,0.5303910891249725,0.7137070688327527,26.273571664043317,0.35160198030864104
Manufacturing,Teacher,Bachelor,1,0.832588610618983,0.6031542028008389,0.6450009020140587,12.415795743768403,0.40601204002419633
Logistics,Data Analyst,Diploma,2,0.47068286152738864,0.5878427686218386,0.7382677672122931,20.765780875055572,0.42493928775876355
Manufacturing,Technician,Bachelor,4,0.8645965858630866,1.0,1.0,35.34202604283445,0.6623808174140831
Government,Nurse,Diploma,10,0.4277689916455616,0.3124174618615521,0.5438509462333095,11.055160039987594,0.16410892446838715
IT,Teacher,Bachelor,7,0.9559793534484231,1.0,1.0,35.92961478519287,0.6846539530453158
Finance,Support Staff,Bachelor,22,0.5000659398448036,0.7520032783605313,1.0,42.48397805059583,0.641963599336371
Education,Clerk,Diploma,22,0.30917837462459735,0.5698442460153644,0.5522193992940018,23.22009054230218,0.2608343773438745
Finance,Data Analyst,Master,11,0.6364157855992723,0.6342832007679114,0.957404952726967,27.672635794201625,0.499068843857608
Logistics,Technician,High School,6,0.5828260161811516,0.6083259539199474,0.7441215606597021,19.51252896862273,0.39548464261598104
Education,Teacher,Master,14,0.32935563402322876,0.23136937961858972,0.5499939703253367,13.273414054140522,0.15494190304964997
IT,Technician,Diploma,23,0.78356417895352,0.8000158908569343,0.857651319278594,29.983822572876328,0.43122805995784275
Logistics,Support Staff,Master,16,0.49509704920008923,0.7726298905055391,0.9948489617893792,32.87528917153928,0.6804780568219257
